Level	Amplify	Defense Skill	Dodge	Parry	Block	Hit - Melee	Hit - Ranged	Hit - Spell	Crit - Melee	Crit - Ranged	Crit - Spell	Multi-Strike	Readiness	Speed	Resilience - Crit Taken	Resilience - Player Damage	Lifesteal	Haste - Melee	Haste - Ranged	Haste - Spell	Avoidance	Sturdiness	Unused 7	Expertise	Armor Penetration	Mastery	PvP Power	Cleave	Versatility - Damage Done	Versatility - Healing Done	Versatility - Damage Taken	Unused 12
12	9.423075	0.201923091	2.786539133	2.786539133	0.928846465	1.076923	1.076923	1.076923	1.884615	1.884615	1.884615	0	1.884615	0.428321591	0	1.250784588	1.199300455	1.6826925	1.6826925	1.6826925	0.588942188	0.1884615	0	1.076923	0	1.884615	0.832371625	1.884615	2.227272273	2.227272273	4.454544545	0
13	9.423075	0.201923091	2.786539133	2.786539133	0.928846465	1.076923	1.076923	1.076923	1.884615	1.884615	1.884615	0	1.884615	0.428321591	0	1.250784588	1.199300455	1.6826925	1.6826925	1.6826925	0.588942188	0.1884615	0	1.076923	0	1.884615	0.832371625	1.884615	2.227272273	2.227272273	4.454544545	0
14	9.423075	0.201923091	2.786539133	2.786539133	0.928846465	1.076923	1.076923	1.076923	1.884615	1.884615	1.884615	0	1.884615	0.428321591	0	1.250784588	1.199300455	1.6826925	1.6826925	1.6826925	0.588942188	0.1884615	0	1.076923	0	1.884615	0.832371625	1.884615	2.227272273	2.227272273	4.454544545	0
15	9.423075	0.201923091	2.786539133	2.786539133	0.928846465	1.076923	1.076923	1.076923	1.884615	1.884615	1.884615	0	1.884615	0.428321591	0	1.250784588	1.199300455	1.6826925	1.6826925	1.6826925	0.588942188	0.1884615	0	1.076923	0	1.884615	0.832371625	1.884615	2.227272273	2.227272273	4.454544545	0
16	10.76923	0.230769251	3.184616721	3.184616721	1.061538712	1.230769	1.230769	1.230769	2.153846	2.153846	2.153846	0	2.153846	0.489510455	0	1.429468391	1.370629273	1.9230775	1.9230775	1.9230775	0.673076876	0.2153846	0	1.230769	0	2.153846	0.951281983	2.153846	2.545454364	2.545454364	5.090908727	0
17	12.115385	0.259615254	3.582691914	3.582691914	1.194230638	1.384615	1.384615	1.384615	2.423077	2.423077	2.423077	0	2.423077	0.550699318	0	1.608151272	1.541958091	2.16346125	2.16346125	2.16346125	0.757211562	0.2423077	0	1.384615	0	2.423077	1.070192342	2.423077	2.863636455	2.863636455	5.727272909	0
18	13.46154	0.288461631	3.980769816	3.980769816	1.326923039	1.538462	1.538462	1.538462	2.692308	2.692308	2.692308	0	2.692308	0.611888182	0	1.786834785	1.713286909	2.40384625	2.40384625	2.40384625	0.84134625	0.2692308	0	1.538462	0	2.692308	1.1891027	2.692308	3.181818545	3.181818545	6.363637091	0
19	14.80769	0.317307825	4.378847535	4.378847535	1.459615845	1.692308	1.692308	1.692308	2.961538	2.961538	2.961538	0	2.961538	0.673076818	0	1.965518814	1.884615091	2.64423125	2.64423125	2.64423125	0.925480625	0.2961538	0	1.692308	0	2.961538	1.308012617	2.961538	3.499999455	3.499999455	6.999998909	0
20	16.153845	0.346153827	4.776922649	4.776922649	1.592307549	1.846154	1.846154	1.846154	3.230769	3.230769	3.230769	0	3.230769	0.734265682	0	2.144201357	2.055943909	2.884615	2.884615	2.884615	1.009615313	0.3230769	0	1.846154	0	3.230769	1.426922975	3.230769	3.818181545	3.818181545	7.636363091	0
21	17.5	0.374999972	5.175000204	5.175000204	1.724999927	2	2	2	3.5	3.5	3.5	0	3.5	0.795454545	0	2.322885157	2.227272727	3.125	3.125	3.125	1.093749999	0.35	0	2	0	3.5	1.545833333	3.5	4.136363636	4.136363636	8.272727273	0
22	18.846155	0.403846111	5.573077757	5.573077757	1.857692288	2.153846	2.153846	2.153846	3.769231	3.769231	3.769231	0	3.769231	0.856643409	0	2.50156877	2.398601545	3.365385	3.365385	3.365385	1.177884687	0.3769231	0	2.153846	0	3.769231	1.664743692	3.769231	4.454545727	4.454545727	8.909091455	0
23	20.19231	0.432692141	5.971153416	5.971153416	1.990384472	2.307692	2.307692	2.307692	4.038462	4.038462	4.038462	0	4.038462	0.917832273	0	2.680251931	2.569930364	3.60576875	3.60576875	3.60576875	1.262019375	0.4038462	0	2.307692	0	4.038462	1.78365405	4.038462	4.772727818	4.772727818	9.545455636	0
24	21.53846	0.46153827	6.369230973	6.369230973	2.123076828	2.461539	2.461539	2.461539	4.307692	4.307692	4.307692	0	4.307692	0.979020909	0	2.858935326	2.741258545	3.84615375	3.84615375	3.84615375	1.34615375	0.4307692	0	2.461539	0	4.307692	1.902563967	4.307692	5.090908727	5.090908727	10.18181745	0
25	22.884615	0.490384735	6.767308527	6.767308527	2.255769169	2.615385	2.615385	2.615385	4.576923	4.576923	4.576923	0	4.576923	1.040209773	0	3.037619351	2.912587364	4.08653875	4.08653875	4.08653875	1.430288438	0.4576923	0	2.615385	0	4.576923	2.021474325	4.576923	5.409090818	5.409090818	10.81818164	0
26	24.23077	0.519230718	7.16538348	7.16538348	2.38846116	2.769231	2.769231	2.769231	4.846154	4.846154	4.846154	0	4.846154	1.101398636	0	3.216301781	3.083916182	4.3269225	4.3269225	4.3269225	1.514423125	0.4846154	0	2.769231	0	4.846154	2.140384683	4.846154	5.727272909	5.727272909	11.45454582	0
27	25.576925	0.5480769	7.563461768	7.563461768	2.521154105	2.923077	2.923077	2.923077	5.115385	5.115385	5.115385	0	5.115385	1.1625875	0	3.394985689	3.255245	4.5673075	4.5673075	4.5673075	1.598557813	0.5115385	0	2.923077	0	5.115385	2.259295042	5.115385	6.045455	6.045455	12.09091	0
28	26.923075	0.576923081	7.961538858	7.961538858	2.653846101	3.076923	3.076923	3.076923	5.384615	5.384615	5.384615	0	5.384615	1.223776136	0	3.573669604	3.426573182	4.8076925	4.8076925	4.8076925	1.682692187	0.5384615	0	3.076923	0	5.384615	2.378204958	5.384615	6.363635909	6.363635909	12.72727182	0
29	28.26923	0.605769263	8.359617396	8.359617396	2.786538758	3.230769	3.230769	3.230769	5.653846	5.653846	5.653846	0	5.653846	1.284965	0	3.752353462	3.597902	5.0480775	5.0480775	5.0480775	1.766826875	0.5653846	0	3.230769	0	5.653846	2.497115317	5.653846	6.681818	6.681818	13.363636	0
30	29.615385	0.634615143	8.757692249	8.757692249	2.919230561	3.384615	3.384615	3.384615	5.923077	5.923077	5.923077	0	5.923077	1.346153864	0	3.931036088	3.769230818	5.28846125	5.28846125	5.28846125	1.850961563	0.5923077	0	3.384615	0	5.923077	2.616025675	5.923077	7.000000091	7.000000091	14.00000018	0
31	30.961535	0.663461531	9.155768223	9.155768223	3.051922741	3.538462	3.538462	3.538462	6.192307	6.192307	6.192307	0	6.192307	1.4073425	0	4.109719625	3.940559	5.52884625	5.52884625	5.52884625	1.935095938	0.6192307	0	3.538462	0	6.192307	2.734935592	6.192307	7.318181	7.318181	14.636362	0
32	32.30769	0.692307731	9.553846577	9.553846577	3.184615337	3.692308	3.692308	3.692308	6.461538	6.461538	6.461538	0	6.461538	1.468531364	0	4.288403497	4.111887818	5.76923125	5.76923125	5.76923125	2.019230626	0.6461538	0	3.692308	0	6.461538	2.85384595	6.461538	7.636363091	7.636363091	15.27272618	0
33	33.653845	0.72115395	9.951925635	9.951925635	3.317308545	3.846154	3.846154	3.846154	6.730769	6.730769	6.730769	0	6.730769	1.529720227	0	4.467087809	4.283216636	6.00961625	6.00961625	6.00961625	2.103365312	0.6730769	0	3.846154	0	6.730769	2.972756308	6.730769	7.954545182	7.954545182	15.90909036	0
34	35	0.75	10.3500015	10.3500015	3.45	4	4	4	7	7	7	0	7	1.590909091	0	4.645770086	4.454545455	6.25	6.25	6.25	2.1875	0.7	0	4	0	7	3.091666667	7	8.272727273	8.272727273	16.54545455	0
35	36.346155	0.778846	10.7480775	10.7480775	3.582692	4.153846	4.153846	4.153846	7.269231	7.269231	7.269231	0	7.269231	1.652097955	0	4.824453351	4.625874273	6.490385	6.490385	6.490385	2.271634688	0.7269231	0	4.153846	0	7.269231	3.210577025	7.269231	8.590909364	8.590909364	17.18181873	0
36	37.69231	0.807692	11.1461535	11.1461535	3.715384	4.307692	4.307692	4.307692	7.538462	7.538462	7.538462	0	7.538462	1.713286818	0	5.003137264	4.797203091	6.73076875	6.73076875	6.73076875	2.355769375	0.7538462	0	4.307692	0	7.538462	3.329487383	7.538462	8.909091455	8.909091455	17.81818291	0
37	39.038465	0.836538	11.544231	11.544231	3.848077	4.461538	4.461538	4.461538	7.807693	7.807693	7.807693	0	7.807693	1.774475682	0	5.18182053	4.968531909	6.97115375	6.97115375	6.97115375	2.439904063	0.7807693	0	4.461538	0	7.807693	3.448397742	7.807693	9.227273545	9.227273545	18.45454709	0
38	40.384615	0.865385	11.942307	11.942307	3.980769	4.615385	4.615385	4.615385	8.076923	8.076923	8.076923	0	8.076923	1.835664318	0	5.360503796	5.139860091	7.21153875	7.21153875	7.21153875	2.524038437	0.8076923	0	4.615385	0	8.076923	3.567307658	8.076923	9.545454455	9.545454455	19.09090891	0
39	41.73077	0.894231	12.3403845	12.3403845	4.113461	4.769231	4.769231	4.769231	8.346154	8.346154	8.346154	0	8.346154	1.896853182	0	5.539187708	5.311188909	7.4519225	7.4519225	7.4519225	2.608173125	0.8346154	0	4.769231	0	8.346154	3.686218017	8.346154	9.863636545	9.863636545	19.72727309	0
40	43.07692	0.923077	12.738462	12.738462	4.246154	4.923077	4.923077	4.923077	8.615384	8.615384	8.615384	0	8.615384	1.958041818	0	5.717870974	5.482517091	7.6923075	7.6923075	7.6923075	2.6923075	0.8615384	0	4.923077	0	8.615384	3.805127933	8.615384	10.18181745	10.18181745	20.36363491	0
41	44.423075	0.951923	13.136538	13.136538	4.378846	5.076923	5.076923	5.076923	8.884615	8.884615	8.884615	0	8.884615	2.019230682	0	5.896554239	5.653845909	7.9326925	7.9326925	7.9326925	2.776442188	0.8884615	0	5.076923	0	8.884615	3.924038292	8.884615	10.49999955	10.49999955	20.99999909	0
42	45.76923	0.980769	13.5346155	13.5346155	4.511539	5.230769	5.230769	5.230769	9.153846	9.153846	9.153846	0	9.153846	2.080419545	0	6.075237505	5.825174727	8.1730775	8.1730775	8.1730775	2.860576874	0.9153846	0	5.230769	0	9.153846	4.04294865	9.153846	10.81818164	10.81818164	21.63636327	0
43	47.115385	1.009615	13.932693	13.932693	4.644231	5.384615	5.384615	5.384615	9.423077	9.423077	9.423077	0	9.423077	2.141608409	0	6.253921417	5.996503545	8.41346125	8.41346125	8.41346125	2.944711562	0.9423077	0	5.384615	0	9.423077	4.161859008	9.423077	11.13636373	11.13636373	22.27272745	0
44	48.461535	1.038462	14.330769	14.330769	4.776923	5.538462	5.538462	5.538462	9.692307	9.692307	9.692307	0	9.692307	2.202797045	0	6.432604683	6.167831727	8.65384625	8.65384625	8.65384625	3.028845937	0.9692307	0	5.538462	0	9.692307	4.280768925	9.692307	11.45454464	11.45454464	22.90908927	0
45	49.80769	1.067308	14.7288465	14.7288465	4.909616	5.692307	5.692307	5.692307	9.961538	9.961538	9.961538	0	9.961538	2.263985909	0	6.611288597	6.339160545	8.89423125	8.89423125	8.89423125	3.112980625	0.9961538	0	5.692307	0	9.961538	4.399679283	9.961538	11.77272673	11.77272673	23.54545345	0
46	51.15385	1.096154	15.1269255	15.1269255	5.042308	5.846154	5.846154	5.846154	10.23077	10.23077	10.23077	0	10.23077	2.325175	0	6.789971862	6.51049	9.13461625	9.13461625	9.13461625	3.197115625	1.023077	0	5.846154	0	10.23077	4.518590083	10.23077	12.09091	12.09091	24.18182	0
47	52.5	1.125	15.525	15.525	5.175	6	6	6	10.5	10.5	10.5	0	10.5	2.386363636	0	6.968655775	6.681818182	9.375	9.375	9.375	3.28125	1.05	0	6	0	10.5	4.6375	10.5	12.40909091	12.40909091	24.81818182	0
48	53.84616	1.153846	15.9230775	15.9230775	5.307693	6.153846	6.153846	6.153846	10.769232	10.769232	10.769232	0	10.769232	2.447552727	0	7.14733904	6.853147636	9.61538375	9.61538375	9.61538375	3.365385	1.0769232	0	6.153846	0	10.769232	4.7564108	10.769232	12.72727418	12.72727418	25.45454836	0
49	55.19231	1.182692	16.321155	16.321155	5.440384	6.307693	6.307693	6.307693	11.038462	11.038462	11.038462	0	11.038462	2.508741364	0	7.326022953	7.024475818	9.85576875	9.85576875	9.85576875	3.449519376	1.1038462	0	6.307693	0	11.038462	4.875320717	11.038462	13.04545509	13.04545509	26.09091018	0
50	56.538465	1.211538	16.719231	16.719231	5.573077	6.461538	6.461538	6.461538	11.307693	11.307693	11.307693	0	11.307693	2.569930227	0	7.504706865	7.195804636	10.09615375	10.09615375	10.09615375	3.533654062	1.1307693	0	6.461538	0	11.307693	4.994231075	11.307693	13.36363718	13.36363718	26.72727436	0
51	57.884615	1.240385	17.11731	17.11731	5.705769	6.615385	6.615385	6.615385	11.576923	11.576923	11.576923	0	11.576923	2.631118864	0	7.683389484	7.367132818	10.33653875	10.33653875	10.33653875	3.617788438	1.1576923	0	6.615385	0	11.576923	5.113140992	11.576923	13.68181809	13.68181809	27.36363618	0
52	59.230775	1.269231	17.515386	17.515386	5.838462	6.769231	6.769231	6.769231	11.846155	11.846155	11.846155	0	11.846155	2.692307955	0	7.862073398	7.538462273	10.5769225	10.5769225	10.5769225	3.701923438	1.1846155	0	6.769231	0	11.846155	5.232051792	11.846155	14.00000136	14.00000136	28.00000273	0
53	60.576925	1.298077	17.913462	17.913462	5.971154	6.923077	6.923077	6.923077	12.115385	12.115385	12.115385	0	12.115385	2.753496591	0	8.040756017	7.709790455	10.8173075	10.8173075	10.8173075	3.786057813	1.2115385	0	6.923077	0	12.115385	5.350961708	12.115385	14.31818227	14.31818227	28.63636455	0
54	61.923085	1.326923	18.3115395	18.3115395	6.103846	7.076923	7.076923	7.076923	12.384617	12.384617	12.384617	0	12.384617	2.814685682	0	8.219439932	7.881119909	11.0576925	11.0576925	11.0576925	3.870192813	1.2384617	0	7.076923	0	12.384617	5.469872508	12.384617	14.63636555	14.63636555	29.27273109	0
55	63.269235	1.355769	18.709617	18.709617	6.236538	7.230769	7.230769	7.230769	12.653847	12.653847	12.653847	0	12.653847	2.875874318	0	8.398123197	8.052448091	11.2980775	11.2980775	11.2980775	3.954327187	1.2653847	0	7.230769	0	12.653847	5.588782425	12.653847	14.95454645	14.95454645	29.90909291	0
56	64.615395	1.384615	19.107693	19.107693	6.369231	7.384615	7.384615	7.384615	12.923079	12.923079	12.923079	0	12.923079	2.937063409	0	8.576807107	8.223777545	11.53846125	11.53846125	11.53846125	4.038462187	1.2923079	0	7.384615	0	12.923079	5.707693225	12.923079	15.27272973	15.27272973	30.54545945	0
57	65.96154	1.413461	19.5057705	19.5057705	6.501923	7.538462	7.538462	7.538462	13.192308	13.192308	13.192308	0	13.192308	2.998251818	0	8.755489729	8.395105091	11.77884625	11.77884625	11.77884625	4.12259625	1.3192308	0	7.538462	0	13.192308	5.8266027	13.192308	15.59090945	15.59090945	31.18181891	0
58	67.307695	1.442308	19.903848	19.903848	6.634615	7.692307	7.692307	7.692307	13.461539	13.461539	13.461539	0	13.461539	3.059440682	0	8.934174284	8.566433909	12.01923125	12.01923125	12.01923125	4.206730938	1.3461539	0	7.692307	0	13.461539	5.945513058	13.461539	15.90909155	15.90909155	31.81818309	0
59	68.65385	1.471154	20.301924	20.301924	6.767308	7.846154	7.846154	7.846154	13.73077	13.73077	13.73077	0	13.73077	3.120629545	0	9.112856905	8.737762727	12.25961625	12.25961625	12.25961625	4.290865624	1.373077	0	7.846154	0	13.73077	6.064423417	13.73077	16.22727364	16.22727364	32.45454727	0
60	70	1.5	20.7000015	20.7000015	6.900001	8	8	8	14	14	14	0	14	3.181818182	0	9.291540171	8.909090909	12.5	12.5	12.5	4.375	1.4	0	8	0	14	6.183333333	14	16.54545455	16.54545455	33.09090909	0
61	70.93049935	1.536827485	20.9244973	20.9244973	6.974832434	8.038789924	8.038789924	8.038789924	14.18609987	14.18609987	14.18609987	0	14.18609987	3.224113607	0	7.32948493	9.0275181	12.56060925	12.56060925	12.56060925	4.43315621	1.418609987	0	8.038789924	0	14.18609987	6.26552744	14.18609987	16.76539076	16.76539076	33.53078151	0
62	71.86099865	1.556988304	21.1989946	21.1989946	7.066331534	8.144246514	8.144246514	8.144246514	14.37219973	14.37219973	14.37219973	0	14.37219973	3.26640903	0	7.425636527	9.145945284	12.72538518	12.72538518	12.72538518	4.491312416	1.437219973	0	8.144246514	0	14.37219973	6.347721547	14.37219973	16.98532695	16.98532695	33.97065391	0
63	72.791498	1.577149123	21.4734919	21.4734919	7.157830634	8.249703104	8.249703104	8.249703104	14.5582996	14.5582996	14.5582996	0	14.5582996	3.308704455	0	7.521788124	9.264372473	12.8901611	12.8901611	12.8901611	4.549468626	1.45582996	0	8.249703104	0	14.5582996	6.429915655	14.5582996	17.20526316	17.20526316	34.41052633	0
64	73.7219973	1.597309942	21.7479892	21.7479892	7.249329735	8.355159694	8.355159694	8.355159694	14.74439946	14.74439946	14.74439946	0	14.74439946	3.350999877	0	7.617939721	9.382799656	13.05493703	13.05493703	13.05493703	4.607624831	1.474439946	0	8.355159694	0	14.74439946	6.512109762	14.74439946	17.42519936	17.42519936	34.85039872	0
65	74.65249665	1.61747076	22.0224865	22.0224865	7.340828835	8.460616284	8.460616284	8.460616284	14.93049933	14.93049933	14.93049933	0	14.93049933	3.393295302	0	7.714091318	9.501226848	13.21971295	13.21971295	13.21971295	4.66578104	1.493049933	0	8.460616284	0	14.93049933	6.594303869	14.93049933	17.64513557	17.64513557	35.29027114	0
66	75.58299595	1.637631579	22.29698381	22.29698381	7.432327935	8.566072874	8.566072874	8.566072874	15.11659919	15.11659919	15.11659919	0	15.11659919	3.435590725	0	7.810242915	9.619654031	13.38448886	13.38448886	13.38448886	4.723937247	1.511659919	0	8.566072874	0	15.11659919	6.676497976	15.11659919	17.86507177	17.86507177	35.73014354	0
67	76.5134953	1.657792398	22.57148111	22.57148111	7.523827036	8.671529465	8.671529465	8.671529465	15.30269906	15.30269906	15.30269906	0	15.30269906	3.47788615	0	7.906394512	9.73808122	13.54926479	13.54926479	13.54926479	4.782093456	1.530269906	0	8.671529465	0	15.30269906	6.758692083	15.30269906	18.08500798	18.08500798	36.17001596	0
68	77.4439946	1.677953216	22.84597841	22.84597841	7.615326136	8.776986055	8.776986055	8.776986055	15.48879892	15.48879892	15.48879892	0	15.48879892	3.520181573	0	8.002546109	9.856508404	13.71404071	13.71404071	13.71404071	4.840249663	1.548879892	0	8.776986055	0	15.48879892	6.84088619	15.48879892	18.30494418	18.30494418	36.60988836	0
69	78.37449395	1.698114035	23.12047571	23.12047571	7.706825236	8.882442645	8.882442645	8.882442645	15.67489879	15.67489879	15.67489879	0	15.67489879	3.562476998	0	8.098697706	9.974935595	13.87881664	13.87881664	13.87881664	4.898405872	1.567489879	0	8.882442645	0	15.67489879	6.923080297	15.67489879	18.52488039	18.52488039	37.04976078	0
70	79.30499325	1.718274854	23.39497301	23.39497301	7.798324336	8.987899235	8.987899235	8.987899235	15.86099865	15.86099865	15.86099865	0	15.86099865	3.60477242	0	8.194849303	10.09336278	14.04359255	14.04359255	14.04359255	4.956562078	1.586099865	0	8.987899235	0	15.86099865	7.005274404	15.86099865	18.74481659	18.74481659	37.48963317	0
71	80.2354926	1.738435673	23.66947031	23.66947031	7.889823437	9.093355825	9.093355825	9.093355825	16.04709852	16.04709852	16.04709852	0	16.04709852	3.647067845	0	8.2910009	10.21178997	14.20836848	14.20836848	14.20836848	5.014718287	1.604709852	0	9.093355825	0	16.04709852	7.087468511	16.04709852	18.9647528	18.9647528	37.92950559	0
72	81.1659919	1.758596491	23.94396761	23.94396761	7.981322537	9.198812416	9.198812416	9.198812416	16.23319838	16.23319838	16.23319838	0	16.23319838	3.689363268	0	8.387152497	10.33021715	14.3731444	14.3731444	14.3731444	5.072874494	1.623319838	0	9.198812416	0	16.23319838	7.169662618	16.23319838	19.18468899	19.18468899	38.36937799	0
73	82.09649125	1.77875731	24.21846491	24.21846491	8.072821637	9.304269006	9.304269006	9.304269006	16.41929825	16.41929825	16.41929825	0	16.41929825	3.731658693	0	8.483304094	10.44864434	14.53792033	14.53792033	14.53792033	5.131030703	1.641929825	0	9.304269006	0	16.41929825	7.251856725	16.41929825	19.4046252	19.4046252	38.80925041	0
74	83.02699055	1.798918129	24.49296221	24.49296221	8.164320738	9.409725596	9.409725596	9.409725596	16.60539811	16.60539811	16.60539811	0	16.60539811	3.773954116	0	8.579455691	10.56707153	14.70269625	14.70269625	14.70269625	5.18918691	1.660539811	0	9.409725596	0	16.60539811	7.334050832	16.60539811	19.6245614	19.6245614	39.24912281	0
75	83.9574899	1.819078947	24.76745951	24.76745951	8.255819838	9.515182186	9.515182186	9.515182186	16.79149798	16.79149798	16.79149798	0	16.79149798	3.816249541	0	8.675607287	10.68549871	14.86747216	14.86747216	14.86747216	5.247343119	1.679149798	0	9.515182186	0	16.79149798	7.416244939	16.79149798	19.84449761	19.84449761	39.68899523	0
76	84.8879892	1.839239766	25.04195682	25.04195682	8.347318938	9.620638776	9.620638776	9.620638776	16.97759784	16.97759784	16.97759784	0	16.97759784	3.858544964	0	8.771758884	10.8039259	15.03224809	15.03224809	15.03224809	5.305499326	1.697759784	0	9.620638776	0	16.97759784	7.498439046	16.97759784	20.06443381	20.06443381	40.12886762	0
77	85.81848855	1.859400585	25.31645412	25.31645412	8.438818039	9.726095367	9.726095367	9.726095367	17.16369771	17.16369771	17.16369771	0	17.16369771	3.900840389	0	8.867910481	10.92235309	15.19702401	15.19702401	15.19702401	5.363655535	1.716369771	0	9.726095367	0	17.16369771	7.580633153	17.16369771	20.28437002	20.28437002	40.56874004	0
78	86.74898785	1.879561404	25.59095142	25.59095142	8.530317139	9.831551957	9.831551957	9.831551957	17.34979757	17.34979757	17.34979757	0	17.34979757	3.943135811	0	8.964062078	11.04078027	15.36179994	15.36179994	15.36179994	5.42181174	1.734979757	0	9.831551957	0	17.34979757	7.66282726	17.34979757	20.50430622	20.50430622	41.00861244	0
79	87.6794872	1.899722222	25.86544872	25.86544872	8.621816239	9.937008547	9.937008547	9.937008547	17.53589744	17.53589744	17.53589744	0	17.53589744	3.985431236	0	9.060213675	11.15920746	15.52657585	15.52657585	15.52657585	5.47996795	1.753589744	0	9.937008547	0	17.53589744	7.745021368	17.53589744	20.72424243	20.72424243	41.44848486	0
80	88.6099865	1.919883041	26.13994602	26.13994602	8.71331534	10.04246514	10.04246514	10.04246514	17.7219973	17.7219973	17.7219973	0	17.7219973	4.027726659	0	9.156365272	11.27763465	15.69135178	15.69135178	15.69135178	5.538124156	1.77219973	0	10.04246514	0	17.7219973	7.827215475	17.7219973	20.94417863	20.94417863	41.88835725	0
81	92.22672065	1.998245614	27.20688259	27.20688259	9.068960864	10.45236167	10.45236167	10.45236167	18.44534413	18.44534413	18.44534413	0	18.44534413	4.192123666	0	9.530094467	11.73794627	16.33181511	16.33181511	16.33181511	5.764170041	1.844534413	0	10.45236167	0	18.44534413	8.146693657	18.44534413	21.79904306	21.79904306	43.59808613	0
82	95.8434548	2.076608187	28.27381916	28.27381916	9.424606388	10.86225821	10.86225821	10.86225821	19.16869096	19.16869096	19.16869096	0	19.16869096	4.356520673	0	9.903823662	12.19825788	16.97227845	16.97227845	16.97227845	5.990215925	1.916869096	0	10.86225821	0	19.16869096	8.46617184	19.16869096	22.6539075	22.6539075	45.307815	0
83	97.65182185	2.115789474	28.80728745	28.80728745	9.60242915	11.06720648	11.06720648	11.06720648	19.53036437	19.53036437	19.53036437	0	19.53036437	4.438719175	0	10.09068826	12.42841369	17.29251013	17.29251013	17.29251013	6.103238866	1.953036437	0	11.06720648	0	19.53036437	8.625910931	19.53036437	23.08133971	23.08133971	46.16267942	0
